text,id,class1,class2,class3,worker1,worker2,worker3,majority_label,agree_strict,agree,label_3times,worker_amt1,worker_amt2,worker_amt3
"@4therepublicyt @spotify Well then. I block trolls, so have fun with that, jackass.I hope your wife doesn't end up like so many other white women who cross the lines.",102580904491418892_gab,"hatespeech, fearspeech","hatespeech, fearspeech",hatespeech,A3F8RP193M37U9,A34L4OHPHNU8ZK,A1Q9I7VIZZ3RS3,"hatespeech, fearspeech",0,1,hatespeech,1,1,1
actually biggest news would be a nuke going off in the middle of hajj another dead muslim in the hierarchy of any of the named groups is just an opportunity for another feral to take his place,3948117306636774_gab,fearspeech,fearspeech,hatespeech,62,A3JWP6ZBEHJ8AQ,63,fearspeech,0,0,,0,1,0
"When I wrote about a race war, I meant a serious thing: The Govt, the Army, the Police - vast numbers of blacks being trained & given AK47s. I was thinking REAL WAR, big war - with a BIG BUDGET - hundreds of billions of Rands. Secret preparations, etc. Even that scenario, we would survive. We'd have losses.",7196216423644140_gab,normal,hatespeech,"hatespeech, fearspeech",A1Q9I7VIZZ3RS3,A1KOG5Q6XX0DPU,A1X84CLJ7N1PLZ,hatespeech,0,0,,1,1,1
"LMFAO! I'm not even white, but this shit is hilarious!",8338049732534514_gab,hatespeech,normal,normal,A3GCVJINCZ758Y,AP3TMAKHW9G4P,A2FQYXUQ7F8IKK,normal,0,0,,1,1,1
I would suspect that the women aren't allowed to beat the men in chess in Iran.  A bunch of MullahRkey! #IslamIsTheProblem,3610797605421789_gab,hatespeech,hatespeech,hatespeech,AP3TMAKHW9G4P,A14BSOU2Y5JNT0,A29MM3QH9J9AI5,hatespeech,1,1,hatespeech,1,1,1
"Yes and that is a serious issue. I want to explain what Slavery Reparations are people are getting pissed at the Spooks over this but its not the Spooks, its the Jews. The Jews believe the Spooks are stupid and would waste all their money thus putting it in their hands. See Reparations is about turning Whites into penniless homeless beggars while the Jews fleece the Spooks and they end up with all the property and all the money. Say I gave every Negro in America 50 grand. They would go out, buy gold grills and chains at Jewish jewelry stores, they would buy Caddies Lincolns Mercedes Benz at Jewish car lots, they would buy electronics at Jewish stores. Within a year the Reparations would all be in the pocket of Shlomo",10955875460440675_gab,hatespeech,fearspeech,"hatespeech, fearspeech",A1Q9I7VIZZ3RS3,A1CN4UXQNL22OO,A34L4OHPHNU8ZK,"hatespeech, fearspeech",0,0,,1,1,1
MB NEWS: France - Stupid bleeding heart couldn’t care less that she is endangering all her neighbors in Calais by opening her doors to illegal immigrants.Remember her name - It's only a matter of time before they rape and kill her.https://bit.ly/2WhQhaN,9703216047227170_gab,fearspeech,hatespeech,"hatespeech, fearspeech",A1Q9I7VIZZ3RS3,A1KOG5Q6XX0DPU,A2HIXQU15MCLMO,"hatespeech, fearspeech",0,0,,1,1,1
"Have you shot a firearm before? A ""double tap"" with a puny .22LR handgun will not be ""fine"" against a pack of howling niggers carrying AKs.",10522539055944256_gab,hatespeech,"hatespeech, fearspeech",hatespeech,A3TTGSUBIK1YCL,A14BSOU2Y5JNT0,A1HMZJ59OPLD1P,hatespeech,0,1,hatespeech,1,1,1
"Ah, I figured “Angel” was a girl, plus the fact you called him a “cunt”. You don’t need to use language like that, stay above them. Loser, trash, pig, low-life get your point across just as well as “cunt” without offending women!",8877453039625834_gab,normal,hatespeech,hatespeech,A2ZJAEL03VTZ8,A3GCVJINCZ758Y,A1HMZJ59OPLD1P,hatespeech,0,0,,1,1,1
"I don't get it. If you hate your country enough to seek asylum in USA, then why are you holding your flag up high in one hand and throwing rocks with the other? #CloseTheBorderhttps://www.realclearpolitics.com/video/2018/11/26/san_diego_border_patrol_chief_asylum-seekers_would_surrender_not_throw_rocks.html",9170457342071017_gab,normal,hatespeech,normal,A13THSUF9KLI53,AP3TMAKHW9G4P,A1MXDBILWV8RXN,normal,0,0,,1,1,1
Blog op Zondag | Geloofwaardig? http://bit.ly/2nmdNT5  #holocaustherdenking #HolocaustMemorialDay #antisemitisme #Rutte #Rutte3 #Migranten,6558398818826037_gab,fearspeech,normal,normal,AP3TMAKHW9G4P,A14BSOU2Y5JNT0,A3JWP6ZBEHJ8AQ,normal,0,0,,1,1,1
"@JoxuaLuxor islam is not a religion, its a political system aimed at world dominance as stated in their book koran, moslimes are not compatible with the civilized world and should not be allowed in America, period",3284336804033416_gab,hatespeech,fearspeech,"hatespeech, fearspeech",AP3TMAKHW9G4P,A14BSOU2Y5JNT0,A34L4OHPHNU8ZK,"hatespeech, fearspeech",0,0,,1,1,1
White trash have still done more in this world than pavement apes so yeah.....,10326988353973055_gab,hatespeech,hatespeech,hatespeech,A3O5DCGZE1T61D,A1HMZJ59OPLD1P,A1ONFAJRN4I11S,hatespeech,1,1,hatespeech,1,1,1
Let's see if I can post my anti moslem truth here,102442243779245645_gab,hatespeech,hatespeech,hatespeech,A3HJNOCKXFOOVP,A3TTGSUBIK1YCL,A1ONFAJRN4I11S,hatespeech,1,1,hatespeech,1,1,1
we suffer today because of jewsthey hate us more than they hate us that is why they have so much power they don't give a fuck about feelings and compassion break free of your handicaps we have to HATE jews they are the ultimate enemy in life ,8001670029391266_gab,hatespeech,fearspeech,"hatespeech, fearspeech",AI3DAI65C3XPQ,A13THSUF9KLI53,A34L4OHPHNU8ZK,"hatespeech, fearspeech",0,0,,1,1,1
"@Brittney   In Canada, companies can get a $10,000 subsidy for each minority employee they hire...  How are caucasians supposed to compete with that???  #WhitePrivilege ?  In Alberta, schools teach the latter as a fact!  ",2219106700311169_gab,fearspeech,fearspeech,fearspeech,A3MKQ62CNO0MM8,A3TTGSUBIK1YCL,AX10VJDUTF7GA,fearspeech,1,1,fearspeech,1,1,1
The state department and the Supreme court is putting the interest of third world refugees over American citizens. let that sink in.  #Soros #Trump,3515905205044777_gab,fearspeech,fearspeech,fearspeech,A2HIXQU15MCLMO,A2ZRL1ZWWXJ0L7,A1HMZJ59OPLD1P,fearspeech,1,1,fearspeech,1,1,1
"God Lord, Donna. A raghead tranny. And it's supposed to have a husband.",7125804023072441_gab,hatespeech,fearspeech,hatespeech,A3MKQ62CNO0MM8,A3TTGSUBIK1YCL,AX10VJDUTF7GA,hatespeech,0,0,,1,1,1
"The jews are the sole reason for shitty relations between russia and the US. Putin is a nationalist and he is allied with every other nationalist leader but Trump. If the US and Russia allied with the other nationalist leaders in the EU, it would be game over for the EU and the jews know that so one of their primary goals is to create hostile relations between Russia and the US, hopefully leading to a war.",102471307411910311_gab,"hatespeech, fearspeech",hatespeech,"hatespeech, fearspeech",A2W1EIVLN6JCLC,A1KOG5Q6XX0DPU,ANFE3MX7DI3J6,"hatespeech, fearspeech",0,1,hatespeech,1,1,1
"Not if the numbers are big enough. A military coup would work, our Generals must be getting as sick to death of islam as much, if not more so than us! With the military in control, cleansing would be doable.",5391404412170479_gab,hatespeech,"hatespeech, fearspeech","hatespeech, fearspeech",A3JWP6ZBEHJ8AQ,A1KOG5Q6XX0DPU,A2JUTTLDE5LGHH,"hatespeech, fearspeech",0,1,hatespeech,1,1,1
"ATTENTION non-jews: Popular social hacking tactics of evil scumbag piles of shit known as jews: 1. Attempt to scare THE INTELLIGENT into looking away from THE TRUTH by labeling THE TRUTH as ""ignorance"" or similar. An extension of that is the term ""anti-semitic"". That is an extremely important example because White jews AREN'T semitic!!! (Palestinians that israel has been trying to commit genocide against ARE semitic) 2. Attempt to say that people or situations are exactly the opposite of THE TRUTH. Basically similar to tactic 1. Basically evil scumbag piles of shit known as jews seem to be trained to attempt social hacking by trying to use an ""opposite of THE TRUTH"" word game. 3. Say that evil scumbag piles of shit known as jews are ""a race"" when there are minorities nearby to recruit as allies in a conflict against WHITE CHRISTIANS. Then deny that evil scumbag piles of shit known as jews are a race when talking about genocide of Palestinians and anti-brown-and-black immigration regulations in israel. ",10271677653385566_gab,"hatespeech, fearspeech","hatespeech, fearspeech","fearspeech, hatespeech",62,A2HIXQU15MCLMO,63,"hatespeech, fearspeech",0,1,hatespeech,0,1,0
Remember this? The (EX-)POTUS stands so tall & spews such bullshit & the zombies smile & clap in support of a deserter & traitor-turned-muslim.Obama was so proud...If I had a son.... http://www.thegatewaypundit.com/2016/12/worst-president-ever-obama-released-taliban-5-current-whereabouts-unknown/,3962054006674610_gab,hatespeech,hatespeech,hatespeech,A3O5DCGZE1T61D,A14BSOU2Y5JNT0,A1ONFAJRN4I11S,hatespeech,1,1,hatespeech,1,1,1
"From reported terrorist attacks to silence over child sexual abuse by ""asians"" and Turkey moving the borders in Syria, this is the week in words.http://www.dagpost.com/en/2017/04/07/whats-happening-this-year-week-14/#news #politics #Syria",3995687406782043_gab,hatespeech,normal,normal,A2ZRL1ZWWXJ0L7,A14BSOU2Y5JNT0,A1HMZJ59OPLD1P,normal,0,0,,1,1,1
Why aren't the radio station's owners not being indicted?UK: Muslim radio station loses license after broadcasting calls to jihad violence https://www.jihadwatch.org/2017/07/uk-muslim-radio-station-loses-license-after-broadcasting-calls-to-jihad-violence,4976309110235888_gab,fearspeech,fearspeech,hatespeech,A3TTGSUBIK1YCL,A2HIXQU15MCLMO,A3JSUDRKVVV0QK,fearspeech,0,0,,1,1,1
"Asian sex gang supporters threaten to rape female lawyers | UK | News | Express.co.ukOoohhh, it’s the Asians!...I knew it!...:/https://www.express.co.uk/news/uk/1094537/asian-gang-sex-rape-female-lawyersvia @GabDissenter",10021301850415524_gab,fearspeech,fearspeech,"hatespeech, fearspeech",A2HIXQU15MCLMO,61,63,fearspeech,0,1,fearspeech,1,0,0
How can one take oath to defend Constitution and let Muslims be Muslims? #inauguration #QuranObedience #muhammadWorship#banislam,3291275404059271_gab,normal,"hatespeech, fearspeech",hatespeech,A1Q9I7VIZZ3RS3,A2JUTTLDE5LGHH,A2Y2TURT2VEYZN,hatespeech,0,0,,1,1,1
I'm willing to bet you are a nigger. you certainly have the low IQ of a nigger and the reasoning power of a nigger,11022005261165814_gab,hatespeech,hatespeech,hatespeech,A2FO6J0H70OW05,A3TTGSUBIK1YCL,A17EHWQND2HPWE,hatespeech,1,1,hatespeech,1,1,1
"It all depends on what they declassify.  If they bury the jewels in dung, few will look.  If they display the jewels and eschew the dung, the SociCrats will want the dung revealed to muddy the waters and distract. We will see.TWO SOURCES: DECLASSIFICATIONS START THIS WEEK, MAYBE TOMORROW! JUSTICE IS AROUND THE CORNER! - YouTubehttps://www.youtube.com/watch?v=yIFud4m9feE",102533432368643735_gab,hatespeech,normal,"hatespeech, fearspeech",A1Q9I7VIZZ3RS3,A2JUTTLDE5LGHH,A34L4OHPHNU8ZK,hatespeech,0,0,,1,1,1
islam is not even a true religion. it is a political and societal set of rules and instructions. these are geared towards the brutally violent take over of non-Islamic lands resulting in the genocide of any that refuse to convert followed by the brutal control of every aspect of human life. that control follows the indoctrination of the very worst in human behavior wrapped in a poor excuse for a Word of God.the doctrine of the Fallen.,10097910551334966_gab,fearspeech,"hatespeech, fearspeech","hatespeech, fearspeech",AP3TMAKHW9G4P,A14BSOU2Y5JNT0,A2MAGMY4JMDD3V,"hatespeech, fearspeech",0,1,fearspeech,1,1,1
"William,  I love the passion.  However,  the USA immigration is fucked.  You do know we have Muslims  refugees in the  Congress . Does Japan  have Muslims in thier Government. ",10565524956385706_gab,fearspeech,hatespeech,fearspeech,A2ZRL1ZWWXJ0L7,A3O5DCGZE1T61D,A3MKQ62CNO0MM8,fearspeech,0,0,,1,1,1
we are less than 300 years and we still cant manage our corruption nearly as well as the Chinese--they are thieves and money hoarders--don't do business with them--they will take your underwear--and smile like you will come back--arabs are the same--they will go as far as we let them--,4312107707760411_gab,fearspeech,fearspeech,fearspeech,A3JWP6ZBEHJ8AQ,A1HMZJ59OPLD1P,A1ONFAJRN4I11S,fearspeech,1,1,fearspeech,1,1,1
By the way Frank J Buds Jr. is a fucking coward. He was wrong with all his shit talking and then the pussy blocked me so I couldn't respond. What a little girl...,10517856255904586_gab,normal,hatespeech,hatespeech,A2ZRL1ZWWXJ0L7,A3O5DCGZE1T61D,A1HMZJ59OPLD1P,hatespeech,0,0,,1,1,1
Meryl Streep is so retarded she's gonna be kidnapped by 4 black Chicago teenagers,3248328403868699_gab,hatespeech,fearspeech,"hatespeech, fearspeech",A1ONFAJRN4I11S,A3TTGSUBIK1YCL,A1HMZJ59OPLD1P,"hatespeech, fearspeech",0,0,,1,1,1
"1)People hate you.2) you alienated half the country by calling us deplorable, racists3) you are a cunthttp://www.foxnews.com/politics/2017/04/07/hillary-clinton-blames-comey-wikileaks-and-misogyny-for-2016-loss.html",3998161306787541_gab,hatespeech,hatespeech,normal,A2FQYXUQ7F8IKK,A2JUTTLDE5LGHH,AEVDGQNTQ0AGE,hatespeech,0,0,,1,1,1
"Well, pretty soon you may end up with a face full of acid while you listen to your wife being gang raped by muslims if you don't protest now. The IRA was effective in protesting the British Government, British men can be too. ",10541263256145097_gab,fearspeech,hatespeech,hatespeech,A3MKQ62CNO0MM8,A14BSOU2Y5JNT0,AB77P0ABU54TS,hatespeech,0,0,,1,1,1
Rabbi Meir Kahane: Lack of Ahavat Yisrael among U.S. Jews responsible for the holocaust (JTF video): https://youtu.be/9RNkArBPPGY ,10937549660239354_gab,normal,normal,normal,A376DD71XY793G,A30QFNE9O4DF4D,AX10VJDUTF7GA,normal,1,1,normal,1,1,1
 The UN agency for Palestinian refugees on Friday expressed concern after Jerusalem’s Israeli mayor said he would remove it from the city...https://www.breitbart.com/news/israel-to-remove-un-palestinian-agency-from-jerusalem/,8717525837554124_gab,normal,normal,normal,A1MXDBILWV8RXN,A3JQ2LIT3E4TA2,A3LFB7XLW00Q61,normal,1,1,normal,1,1,1
I just got 7 days in Facebook jail for calling muslims...towelheads lol,10100566651374127_gab,hatespeech,hatespeech,hatespeech,AP3TMAKHW9G4P,A14BSOU2Y5JNT0,A2MAGMY4JMDD3V,hatespeech,1,1,hatespeech,1,1,1
"The tweet that got me suspended on twitter: @robelec Welja. ga mijn 'vuilspuiterij 'aanpakken, terwijl moslims, aanhangers van deathcult islam dagelijks onschuldige mensen vermoorden. Fuck off! No idea what's wrong with it. Everything in it is true. Twitter never has heard of Beslan I guess (185 kids...dead...by muslims, because of islam)",7092374722829386_gab,fearspeech,"hatespeech, fearspeech",fearspeech,A3TTGSUBIK1YCL,A34L4OHPHNU8ZK,ARQR5NIFA1AJ,fearspeech,0,1,fearspeech,1,1,1
"Assassinations, increased crime, rape, fear, and sharia zones. These are the consequences of multiculturalism and open doors for immigrants. Swedes are fleeing their country to find peace and normality in Poland.”https://www.infowars.com/swedish-minister-attacks-polish-mep-who-claimed-people-fleeing-sweden/",102603894294405689_gab,fearspeech,hatespeech,fearspeech,A2ZRL1ZWWXJ0L7,A1KOG5Q6XX0DPU,A3JWP6ZBEHJ8AQ,fearspeech,0,0,,1,1,1
"_it has become fashionable of late to blame our classically liberal order for the ills that afflict American conservatism_ Since it is untethered to nationalism or a sense of local community, the internatl liberal order is to blame for many of the US' current ills. Allowing American companies to entirely offshore their manufacturing or services to the Third World while also retaining the status of an American company was a huge mistake. Allowing the American business establishment to push for increased legal and illegal immigration while also never effectively punishing American employers that hired illegal aliens was a huge mistake. Adventurism in foreign wars while also having a naive belief that other countries want or are able to embrace individual rights and representative govt was a huge mistake. Conservatives wanting to lose with dignity while culture and politics shift ever leftward was a huge mistake. The fact that American conservatism failed to recognize and address these faults in the liberal order is precisely why American conservatism needs - nay, cannot survive without - a healthy injection of nationalism and populism (devolution of power & a political movement oriented towards the average citizen).The Post-Liberals’ Incoherence | National Reviewhttps://www.nationalreview.com/magazine/2019/07/08/the-post-liberals-incoherence/ via @GabDissenter",10968270660569542_gab,fearspeech,normal,normal,A3TTGSUBIK1YCL,AV88K2R595B4O,A3JSUDRKVVV0QK,normal,0,0,,1,1,1
I'm becoming extremely concerned and infuriated by what is happening in this country.    Where is the justice?  Why is Tommy R persecuted when jihadies are allowed back into our country and the Muslim Brotherhood are acting as advisers to the British Army?  WTF!   Its a nightmare and I now look around me and wonder how it happened and what the hell can we do a bout it!Brexit: Police warn MPs and campaigners not to inflame tensions - BBC Newshttps://www.bbc.co.uk/news/uk-47806365 via @GabDissenter,10278449053460158_gab,fearspeech,"hatespeech, fearspeech",fearspeech,A3TTGSUBIK1YCL,A15SJZQBR8I3B3,A2ZRL1ZWWXJ0L7,fearspeech,0,1,fearspeech,1,1,1
"Forget even trying people, it's an old boys club and trying to appeal will only give them more of your money unless your an immigrant or part of the LGBT community in which case they will bend over backwards to help you. I tested the law, its broken        Complain about a judge, magistrate, tribunal member or coroner - GOV.UK https://www.gov.uk/complain-judge-magistrate-tribunal-coroner via @GabDissenter",10332491954023266_gab,fearspeech,hatespeech,fearspeech,A3JWP6ZBEHJ8AQ,A3GCVJINCZ758Y,A2NSS746CFCT4M,fearspeech,0,0,,1,1,1
Charge all those involved with trafficking illegal immigrantsOne presidential contender needs to be made an example of,102406045325102789_gab,normal,normal,normal,A2FQYXUQ7F8IKK,A30QFNE9O4DF4D,ANFE3MX7DI3J6,normal,1,1,normal,1,1,1
"the one with the swirly blood all over the floor? yeah, muslims tortured the audience, hacked bits off victims bodies, a real blood fest that the french authorities and westerns media tried to cover up .. the traitors",10537251056105857_gab,fearspeech,"hatespeech, fearspeech","hatespeech, fearspeech",A3MKQ62CNO0MM8,A1ONFAJRN4I11S,A14BSOU2Y5JNT0,"hatespeech, fearspeech",0,1,fearspeech,1,1,1
Hey...I'm a twitter refugee too...found out I was being banned big time! Nice to see you here...following of course :) @son_follower1,8142236830502816_gab,normal,hatespeech,normal,A3GCVJINCZ758Y,A3TTGSUBIK1YCL,A1HMZJ59OPLD1P,normal,0,0,,1,1,1
"https://youtu.be/HrscwJYO8G8 Camilia is a first phase feminist, an atheist, a lesbian.  While I dont agree with her religious views or her pro-abortion stance, I agree with her on her lislike of the current upper class’ & middle class’ bourgeoise, the poison & evilness of “ toxic masclinity” & her liking of Hell’s angels,  She appreciates men for being men.",7290418824357582_gab,normal,normal,normal,A1MXDBILWV8RXN,A3JQ2LIT3E4TA2,A3LFB7XLW00Q61,normal,1,1,normal,1,1,1
"卐 “The Jewish doctrine of Marxism rejects the aristocratic principle of Nature and replaces the eternal privilege of power and strength with the mass of numbers and their dead weight. Thus it denies personal worth, contests the significance of folk and race, and thereby withdraws from mankind premise for its existence and culture.”―Mein Kampf 卐https://www.youtube.com/watch?v=rkE8z4-ovXo #marxism #jews",10153383952044611_gab,"hatespeech, fearspeech","hatespeech, fearspeech","hatespeech, fearspeech",A2FQYXUQ7F8IKK,A2JUTTLDE5LGHH,A34L4OHPHNU8ZK,"hatespeech, fearspeech",1,1,hatespeech,1,1,1
Western medicine is Rockefeller medicine – all the way.http://freedom-articles.toolsforfreedom.com/western-medicine-rockefeller-medicine/#doctors #medical #medicine #vaccine #fraud #jews,5398563912205872_gab,hatespeech,hatespeech,hatespeech,A2QPMJ4GADLUW2,A2U53YHFUIT60P,A3ENNVSWZIXWDG,hatespeech,1,1,hatespeech,1,1,1
"#Hispanics and #Negroes killing White Senior Citizens an epidemic???""We are constantly bombarded with news about vulnerable women and children crossing our southern border, but what about our own vulnerable senior citizens! Why aren’t we hearing about them!""https://fraudscrookscriminals.com/2019/08/11/illinois-nursing-home-sued-over-abuse-of-elderly-dementia-patient/",102599480522981649_gab,fearspeech,"hatespeech, fearspeech",fearspeech,A2ZRL1ZWWXJ0L7,A1KOG5Q6XX0DPU,A2JUTTLDE5LGHH,fearspeech,0,1,fearspeech,1,1,1
"Some one said, ""if you allow homosexual marriage in the US to be legal, you will open the door for degeneracy in the future."".  That person was laughed out of the room - so to speak.  He was correct (he meaning m or f).",10294047153638102_gab,fearspeech,hatespeech,hatespeech,A2ZJAEL03VTZ8,A3GCVJINCZ758Y,A3JWP6ZBEHJ8AQ,hatespeech,0,0,,1,1,1
"I think that one industry is going to boom now: teddy bear and candle makers. They represent the ONLY expansion aimed at fighting the growing tide of Islamic terrorism. Place bets with them and buy stocks before your children, your friends and you get murdered by peaceful refugees and gentle giants",4394068708046003_gab,fearspeech,"hatespeech, fearspeech",fearspeech,A13THSUF9KLI53,A3JWP6ZBEHJ8AQ,A1OPJ5I9BF44QH,fearspeech,0,1,fearspeech,1,1,1
@Ricky_Vaughn99 ellison is a muslim and uses taqiyya (lying) to advance/protect islam.  He uses the same tactic to advance/protect progressivism.#FUCKislam,2784683001662972_gab,"hatespeech, fearspeech","hatespeech, fearspeech",hatespeech,AX10VJDUTF7GA,A34L4OHPHNU8ZK,AT3G8S6WF9F1C,"hatespeech, fearspeech",0,1,hatespeech,1,1,1
